smca,red,nombre_estacion,clave_estacion,nombre_contaminante,clave_contaminante,fecha,hora,valor,unidades,,Promedios mensuales y anual del Monoxido De Carbono,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,16,2.24,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,17,2.34,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,18,2.53,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,19,2.4,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,20,2.86,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,21,3.34,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,22,2.83,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,03/01/2022,23,2.61,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,0,2.35,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,1,2.26,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,2,2.28,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,3,2.29,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,4,2.41,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,5,2.49,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,6,2.66,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,7,3.42,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,8,2.58,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,9,2.4,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,10,2.31,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,11,2.14,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,12,2.16,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,13,2.14,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,14,2.13,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,15,2.16,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,16,2.22,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,17,2.3,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,18,2.62,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,19,3.46,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,20,3.3,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,21,2.88,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,22,2.52,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,04/01/2022,23,2.45,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,0,2.6,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,1,2.46,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,2,2.19,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,3,2.22,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,4,2.18,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,5,2.61,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,6,2.9,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,7,2.91,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,8,2.93,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,9,2.51,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,10,2.23,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,11,2.14,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,12,2.25,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,13,2.25,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,14,2.29,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,15,2.29,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,16,2.24,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,17,2.39,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,18,2.4,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,19,2.35,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,20,2.32,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,21,2.5,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,22,2.48,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,05/01/2022,23,2.35,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,0,2.21,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,1,2.17,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,2,2.08,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,3,2.07,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,4,2.19,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,5,2.15,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,6,2.5,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,7,3.03,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,8,2.92,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,9,2.49,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,10,2.31,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,11,2.25,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,12,2.33,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,13,2.39,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,14,2.39,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,15,2.32,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,16,2.28,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,17,2.24,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,18,2.26,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,19,2.58,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,20,2.8,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,21,2.69,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,22,2.32,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,06/01/2022,23,2.31,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,0,2.28,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,1,2.21,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,2,2.24,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,3,2.26,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,4,2.17,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,5,2.43,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,6,2.56,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,7,2.86,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,8,2.88,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,9,2.57,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,10,2.16,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,11,2.13,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,12,2.27,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,13,2.25,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,14,2.28,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,15,2.24,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,16,2.31,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,17,2.48,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,18,2.49,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,19,2.31,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,20,2.35,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,21,3.14,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,22,2.62,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,07/01/2022,23,2.36,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,0,2.3,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,1,2.14,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,2,2.08,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,3,2.08,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,4,2.09,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,5,2.13,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,6,2.6,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,7,2.64,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,8,2.69,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,9,2.59,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,10,2.2,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,11,2.13,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,12,2.25,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,13,2.28,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,14,2.27,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,15,2.23,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,16,2.23,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,17,2.31,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,18,2.45,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,19,3.3,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,20,3.64,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,21,2.91,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,22,2.55,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,08/01/2022,23,2.97,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,0,2.46,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,1,2.66,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,2,2.47,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,3,2.56,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,4,2.43,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,5,2.45,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,6,2.75,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,7,3.26,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,8,2.88,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,9,2.31,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,10,2.23,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,11,2.15,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,12,2.13,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,13,2.11,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,14,2.12,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,15,2.2,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,16,2.12,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,17,2.33,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,18,2.33,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,19,2.61,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,21,3.25,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,22,2.94,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,09/01/2022,23,2.5,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,10/01/2022,0,2.3,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,10/01/2022,1,2.16,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,10/01/2022,2,2.36,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,10/01/2022,3,2.38,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,10/01/2022,4,2.17,ppm,,,
Nayarit,Tepic,Tecnologico de Tepic,TEC,Monoxido de carbono,CO,10/01/2022,5,2.45,ppm,,,
